trial_number,trial_outcome,target_index,reaction_time,movement_time,trial_duration,endpoint_error,max_speed,mean_speed,peak_speed_time,speed_variability,path_length,straight_distance,path_efficiency,total_curvature
117,win,2,0.179327,1.714811,1.8941379999999999,0.5915746480673654,0.9319396598704035,0.27544279813444006,0.829365015,0.2956845102424599,0.5307362266603812,1.0,1.8841751321413023,16.60861262823491
118,lose,0,0.206142,4.022929,4.229072,0.6064173550416014,1.0163789298324417,0.21267958596809702,1.455461025,0.27670030415958635,0.9051536223185535,1.0,1.1047848402114298,28.023249896864318
119,win,0,0.208455,2.629664,2.838119,0.6028631107952872,0.9740707040244826,0.2713657257690534,0.674957037,0.27467645255756395,0.7781674249694447,1.0,1.285070497572249,22.193794571843778
120,win,0,0.102977,3.815817,3.918794,0.630558930276069,0.9225323664956091,0.2480671347101045,0.573749065,0.23464536336495354,0.9792970802905736,1.0,1.0211405916816207,32.17511855959639
121,win,1,0.313916,1.5044170000000001,1.8183340000000001,0.6161918102275705,0.6539306640625,0.2786045416862749,0.757771015,0.22515993113186739,0.5129794957331605,1.0,1.9493956548317397,5.05408998865644
122,win,4,51.363931,1.972639,53.33657,0.5873605126739107,0.6950251254646782,0.012773849227478361,51.442619085,0.07853586026650342,0.680613970879328,1.0,1.4692616413795285,10.933982880626314
123,win,7,0.810128,2.642302,3.45243,0.6300943490807943,1.2012059001445452,0.1878685757328726,1.97755289,0.25684722425907525,0.6521861410963801,1.0,1.5333045843613227,28.190628921822224
124,lose,0,146.561544,4.023612,150.585157,0.5780260913339185,0.932461630745183,0.00582602090241834,148.45650196,0.06157785968792936,0.8765227565582852,1.0,1.1408716915993773,24.073118008333736
125,win,0,175.6752,2.951248,178.626449,0.4603788894400924,0.779052734375,0.005667954558807672,175.879996061,0.05896423925511823,1.0084614584776506,1.0,0.9916095370759892,19.256339449834396
126,win,2,0.419169,2.455223,2.874393,0.6180282165325145,0.804443359375,0.23261855837040096,1.840234041,0.2448387041143458,0.6724953473152664,1.0,1.4869991353727525,9.80473731919397
127,win,4,1.29487,2.698705,3.993576,0.5885837490457079,0.5618526654583457,0.13840168827455213,1.662238837,0.18453254094436405,0.5588554288264138,1.0,1.7893715412230704,19.527161106741627
128,win,6,0.179379,2.044651,2.224031,0.6306627139728562,0.8812437424200832,0.20888933842089275,0.85379529,0.23137834258964043,0.47091477948062865,1.0,2.1235264713987076,20.040850806480975
129,win,0,0.331676,1.920629,2.252306,0.5989435139834225,0.6172440569351263,0.2357068092655095,0.672197819,0.19458618410448894,0.5373889717281296,1.0,1.86084950121736,9.959970579198485
130,win,1,0.467548,1.62944,2.096988,0.626401949883678,0.8028961967567428,0.20702375635733908,0.827378034,0.2561602271898599,0.437733345562556,1.0,2.284495824084051,10.19514340081706
131,win,1,0.601984,2.030168,2.6321529999999997,0.6272334803269701,0.637521659521693,0.17627485112519134,1.667603016,0.17793295666584855,0.46705541487578833,1.0,2.1410735603310505,9.532943196714719
132,win,1,0.360465,1.379446,1.739911,0.6125535015147521,0.8671018336915289,0.26201810287356375,0.672382116,0.24284762530431936,0.4628504253224176,1.0,2.160525183277964,4.9058352739701645
133,win,3,0.439516,1.621634,2.061151,0.6188254013219875,0.515601834044099,0.19638733054789906,0.649007082,0.18062937198316428,0.41067644221456606,1.0,2.4350069719303016,6.282541992293366
134,win,2,0.360737,2.247824,2.608561,0.5939134509424555,0.8368648466731092,0.20942474610847192,0.719273806,0.2571575237131402,0.5504432700813453,1.0,1.8167176425868892,14.487882928442723
135,win,6,0.363312,1.632441,1.995754,0.6379653681412963,0.710601806640625,0.1801476111778846,0.750726939,0.23469289250709846,0.36203463185870366,1.0,2.762166687937976,12.566370614359172
136,win,5,0.156506,1.7043300000000001,1.860836,0.590540545441344,0.7529263675680823,0.2273996711630428,1.24237299,0.2200354225581665,0.42985019774345923,1.0,2.3263918575578146,24.025737143889312
137,win,4,0.464053,1.246836,1.71089,0.6118061649089712,0.7939798293639984,0.26462198171568596,0.751336336,0.2939432754477366,0.46069683623746793,1.0,2.1706248477134023,11.466446426614832
138,win,3,0.440973,2.548979,2.989953,0.6272470363773505,0.5891878447498767,0.1920116306556053,0.570101976,0.16393973906422699,0.5811105539415506,1.0,1.7208429501360978,11.451577336535507
139,win,3,0.183463,1.4552100000000001,1.638674,0.6097698042095422,0.7146337186272915,0.2658570803949173,0.627578021,0.18936680284634136,0.44305097709393876,1.0,2.257076615786298,6.7765552851152915
140,win,5,0.6741,1.3501750000000001,2.024276,0.6187128479738495,0.9965616328774558,0.22019672184929764,1.375237941,0.28362046291340476,0.4516440911097799,1.0,2.214132808740617,18.39650386975515
